iter	MAE	RMSE
0	1.507023352	1.981231958
1	1.397054148	1.816726212
2	1.295830711	1.66988387
3	1.206955959	1.541996963
4	1.124098008	1.427824455
5	1.051810658	1.327738849
6	0.9890703073	1.241374641
7	0.931272821	1.164184383
8	0.8803234216	1.0971808
9	0.8345378564	1.039234478
10	0.793376468	0.988386288
11	0.7579309255	0.9444100546
12	0.7261114091	0.9064751166
13	0.6993673294	0.8738904165
14	0.6747570279	0.8458343287
15	0.6540528064	0.821783418
16	0.6344043253	0.8012979316
17	0.6186373065	0.7842546278
18	0.6051843256	0.7692579835
19	0.5926380174	0.7566791113
20	0.5814177899	0.745809627
21	0.5720555301	0.7360353684
22	0.5641635879	0.7285299211
23	0.556974766	0.7219618752
24	0.5506613579	0.7162592372
25	0.5448405823	0.7112045862
26	0.5398303449	0.7063750476
27	0.5343766514	0.7020598411
28	0.5300219302	0.6983372758
29	0.5265292556	0.6952227358
30	0.521993542	0.6922758364
31	0.5188876561	0.6896031542
32	0.5165458873	0.6871463502
33	0.5145031929	0.685486362
34	0.5119816162	0.683546352
35	0.5100555203	0.6818174724
36	0.5079371173	0.6803352204
37	0.5059441049	0.6785835
38	0.5041225155	0.67704893
39	0.5027090866	0.6755083014
40	0.500902333	0.6744781193
41	0.49963056	0.6730356338
42	0.498669569	0.6717054884
43	0.4969567012	0.6705791783
44	0.4960560199	0.6697788261
45	0.4951674742	0.6689610843
46	0.4944531435	0.6681611666
47	0.4931083758	0.6668307658
48	0.4925532212	0.6662409199
49	0.4917886516	0.665445621
50	0.4907343536	0.6647136224
51	0.4901390837	0.6638752311
52	0.4897908448	0.6632988589
53	0.4890325695	0.6626152937
54	0.48823158	0.661978358
55	0.4871563465	0.6613697907
56	0.4868002211	0.6609698557
57	0.4859878283	0.6602942576
58	0.4855191425	0.6596248008
59	0.4849641324	0.6588907055
60	0.484548566	0.6583684779
61	0.4841570155	0.6578340541
62	0.483501845	0.6572605477
63	0.4829112943	0.6567140925
64	0.4824122213	0.656010302
65	0.4816139676	0.6551363943
66	0.4806466994	0.6541778706
67	0.4800072624	0.6535281606
68	0.4794720512	0.6529097797
69	0.4787130742	0.6523143449
70	0.4783123718	0.6518982573
71	0.4781306085	0.6515650963
72	0.4776207786	0.6512305515
73	0.47735874	0.6508717479
74	0.4768915448	0.6501999582
75	0.4766080446	0.6498387471
76	0.4761471777	0.6493934872
77	0.4757422524	0.6488105469
78	0.475386058	0.6482640833
79	0.4748575661	0.6476854892
80	0.4746360663	0.6473266511
81	0.4743836535	0.6468752981
82	0.4733841285	0.6462317432
83	0.4729581871	0.6457723895
84	0.4726570398	0.6455494728
85	0.4722575415	0.6451678758
86	0.4718907304	0.6447599728
87	0.4715439127	0.6442634623
88	0.4712231895	0.643802665
89	0.4708752381	0.6433254168
90	0.4706986187	0.6430637336
91	0.4703804213	0.6427127782
92	0.4701651352	0.6423767373
93	0.4697098737	0.642059675
94	0.4694583177	0.6417027696
95	0.4688288478	0.6412948586
96	0.4685080738	0.6408649532
97	0.4681630735	0.6403663449
98	0.4680282078	0.6401739871
99	0.4678311499	0.6399308665
100	0.467634703	0.639663284
101	0.4674913068	0.6394603429
102	0.4671718099	0.6392328267
103	0.4670768934	0.6390301143
104	0.4668422069	0.6387545158
105	0.4663778401	0.638216825
106	0.466174288	0.6380184664
107	0.4659253422	0.6376854767
108	0.4655818592	0.6374341684
109	0.4654496218	0.6372959643
110	0.4652651179	0.6370660008
111	0.4649900982	0.6367648978
112	0.4648969408	0.636574113
113	0.464741583	0.6363263584
114	0.4643930771	0.6358278732
115	0.464282515	0.6356784777
116	0.4640969254	0.6354836308
117	0.4638816514	0.635185637
118	0.4637705269	0.6349785427
119	0.4635621734	0.6346793575
120	0.4633989666	0.6344365328
121	0.4632299311	0.6342118126
122	0.463000325	0.633875045
123	0.4628230704	0.6335672869
124	0.4626096382	0.6332959113
125	0.4624328846	0.6330451119
126	0.4622784146	0.6328546519
127	0.4621339976	0.6326329775
128	0.4619550089	0.6323860859
129	0.4617909523	0.6321704351
130	0.461485574	0.6318192994
131	0.4613391186	0.6316078329
132	0.4611803931	0.6313842657
133	0.4610254663	0.631199199
134	0.46059242	0.6309251606
135	0.4604389247	0.6306839082
136	0.4601848809	0.6303794171
137	0.4598880187	0.6299906717
138	0.4597537167	0.6297688138
139	0.4594518544	0.6295121675
140	0.4593037898	0.6293273467
141	0.4589461751	0.6290859739
142	0.4587575201	0.6288271295
143	0.4585698062	0.6285933476
144	0.4583958471	0.6284134732
145	0.4582444949	0.6282234357
146	0.4579391902	0.6279622801
147	0.4578247916	0.6278173739
148	0.4577383067	0.6276625321
149	0.4575147073	0.6274341112
150	0.4574122109	0.6272681399
151	0.4572162298	0.6270782243
152	0.4571428117	0.6269571959
153	0.4567910233	0.6267378816
154	0.4565932127	0.6265446406
155	0.4564450455	0.6263053884
156	0.4562818726	0.6261155781
