iter	Passed	Remaining
0	10	53772
1	21	53799
2	31	52970
3	42	52673
4	52	52452
5	62	51960
6	72	51617
7	82	51508
8	92	51175
9	102	51371
10	113	51255
11	122	51003
12	132	50759
13	142	50664
14	151	50461
15	162	50519
16	172	50423
17	182	50388
18	191	50280
19	201	50169
20	213	50627
21	226	51362
22	241	52241
23	251	52224
24	262	52201
25	272	52113
26	282	51991
27	291	51842
28	302	51771
29	312	51729
30	322	51724
31	332	51621
32	342	51512
33	352	51439
34	362	51388
35	372	51340
36	382	51297
37	392	51250
38	402	51149
39	412	51097
40	421	51019
41	432	51009
42	442	51053
43	452	50999
44	462	50911
45	472	50856
46	481	50780
47	492	50768
48	502	50793
49	512	50738
50	522	50673
51	532	50666
52	542	50640
53	552	50598
54	562	50592
55	572	50544
56	582	50503
57	591	50441
58	601	50404
59	612	50446
60	623	50446
61	633	50462
62	643	50404
63	653	50399
64	663	50366
65	673	50323
66	683	50312
67	692	50242
68	702	50210
69	712	50193
70	722	50156
71	732	50139
72	742	50110
73	752	50059
74	761	50012
75	772	50019
76	782	50005
77	792	49991
78	802	49967
79	812	49949
80	822	49952
81	832	49945
82	842	49911
83	853	49926
84	862	49849
85	872	49833
86	881	49789
87	891	49743
88	900	49707
89	911	49713
90	921	49707
91	931	49687
92	941	49680
93	951	49658
94	961	49645
95	971	49606
96	980	49581
97	991	49579
98	1001	49567
99	1011	49552
100	1021	49527
101	1030	49497
102	1040	49484
103	1050	49475
104	1061	49488
105	1071	49474
106	1081	49444
107	1091	49425
108	1100	49386
109	1110	49352
110	1120	49336
111	1129	49291
112	1139	49274
113	1149	49277
114	1159	49258
115	1169	49255
116	1180	49262
117	1189	49228
118	1199	49216
119	1209	49199
120	1220	49219
121	1230	49216
122	1241	49210
123	1250	49188
124	1260	49163
125	1270	49141
126	1280	49125
127	1290	49118
128	1300	49093
129	1309	49069
130	1319	49051
131	1329	49036
132	1339	49018
133	1349	49019
134	1359	49008
135	1370	49011
136	1380	48991
137	1390	48979
138	1400	48990
139	1410	48973
140	1420	48943
141	1430	48924
142	1440	48913
143	1450	48905
144	1460	48907
145	1470	48884
146	1479	48854
147	1489	48839
148	1499	48834
149	1509	48805
150	1519	48782
151	1528	48752
152	1538	48723
153	1547	48701
154	1557	48689
155	1567	48686
156	1577	48652
157	1586	48624
158	1596	48618
159	1607	48612
160	1616	48583
161	1626	48580
162	1636	48557
163	1645	48524
164	1655	48504
165	1665	48487
166	1675	48486
167	1684	48463
168	1695	48458
169	1705	48442
170	1715	48446
171	1725	48423
172	1734	48407
173	1745	48399
174	1755	48395
175	1765	48395
176	1775	48388
177	1786	48384
178	1796	48374
179	1805	48352
180	1815	48336
181	1825	48333
182	1836	48332
183	1846	48329
184	1856	48316
185	1866	48302
186	1876	48299
187	1886	48284
188	1896	48275
189	1906	48259
190	1916	48241
191	1926	48237
192	1935	48213
193	1945	48200
194	1955	48179
195	1965	48172
196	1975	48155
197	1985	48146
198	1995	48135
199	2004	48109
200	2015	48110
201	2024	48077
202	2033	48060
203	2043	48041
204	2052	48018
205	2062	48001
206	2071	47973
207	2082	47971
208	2092	47964
209	2102	47959
210	2112	47950
211	2122	47925
212	2132	47920
213	2142	47905
214	2152	47904
215	2162	47899
216	2172	47885
217	2183	47890
218	2193	47888
219	2203	47884
220	2214	47885
221	2228	47952
222	2243	48055
223	2255	48094
224	2265	48082
225	2276	48078
226	2285	48052
227	2295	48043
228	2305	48036
229	2315	48022
230	2325	48019
231	2335	48002
232	2345	47983
233	2355	47976
234	2365	47968
235	2375	47955
236	2386	47955
237	2396	47946
238	2405	47926
239	2415	47909
240	2425	47904
241	2435	47891
242	2446	47886
243	2456	47876
244	2466	47869
245	2476	47855
246	2486	47845
247	2496	47835
248	2506	47825
249	2516	47816
250	2526	47802
251	2536	47797
252	2546	47780
253	2557	47783
254	2567	47775
255	2576	47752
256	2586	47735
257	2596	47731
258	2606	47714
259	2616	47705
260	2627	47702
261	2637	47691
262	2646	47663
263	2656	47654
264	2666	47652
265	2676	47640
266	2686	47629
267	2696	47613
268	2706	47599
269	2716	47589
270	2727	47588
271	2736	47572
272	2746	47562
273	2756	47552
274	2766	47535
275	2776	47518
276	2786	47503
277	2796	47505
278	2806	47491
279	2816	47472
280	2826	47459
281	2836	47450
282	2845	47430
283	2855	47422
284	2866	47421
285	2876	47408
286	2885	47390
287	2895	47370
288	2904	47348
289	2914	47332
290	2924	47320
291	2934	47308
292	2944	47303
293	2954	47292
294	2964	47285
295	2974	47266
296	2984	47264
297	2993	47239
298	3003	47228
299	3013	47217
300	3024	47210
301	3034	47202
302	3044	47191
303	3053	47168
304	3063	47160
305	3074	47162
306	3084	47149
307	3094	47140
308	3104	47136
309	3114	47124
310	3125	47117
311	3134	47103
312	3144	47092
313	3154	47081
314	3165	47076
315	3175	47065
316	3184	47050
317	3194	47036
318	3205	47031
319	3215	47028
320	3226	47025
321	3236	47014
322	3246	47006
323	3256	46998
324	3267	46996
325	3276	46981
326	3285	46958
327	3295	46943
328	3306	46937
329	3316	46927
330	3326	46916
331	3335	46892
332	3345	46884
333	3354	46867
334	3364	46858
335	3375	46850
336	3385	46839
337	3394	46824
338	3404	46811
339	3414	46805
340	3425	46799
341	3436	46800
342	3446	46788
343	3456	46781
344	3466	46771
345	3476	46756
346	3485	46738
347	3496	46735
348	3506	46725
349	3515	46712
350	3526	46704
351	3535	46687
352	3544	46665
353	3554	46654
354	3565	46648
355	3574	46631
356	3585	46626
357	3595	46617
358	3605	46608
359	3615	46604
360	3626	46596
361	3635	46584
362	3645	46566
363	3655	46554
364	3665	46543
365	3674	46526
366	3684	46517
367	3694	46504
368	3704	46493
369	3714	46478
370	3723	46460
371	3734	46455
372	3743	46437
373	3753	46424
374	3763	46410
375	3773	46400
376	3782	46388
377	3792	46375
378	3802	46368
379	3813	46365
380	3822	46344
381	3832	46334
382	3842	46322
383	3853	46317
384	3863	46311
385	3873	46298
386	3883	46295
387	3893	46283
388	3903	46268
389	3914	46266
390	3923	46252
391	3933	46242
392	3944	46234
393	3954	46225
394	3964	46215
395	3974	46207
396	3984	46198
397	3994	46188
398	4004	46174
399	4014	46163
400	4023	46145
401	4033	46132
402	4043	46126
403	4053	46115
404	4063	46103
405	4074	46099
406	4084	46093
407	4094	46082
408	4104	46074
409	4115	46072
410	4124	46055
411	4134	46041
412	4143	46023
413	4153	46011
414	4163	45998
415	4173	45990
416	4183	45983
417	4193	45970
418	4203	45960
419	4214	45954
420	4225	45961
421	4240	46003
422	4253	46022
423	4263	46016
424	4273	46003
425	4283	45994
426	4293	45980
427	4302	45965
428	4313	45955
429	4322	45942
430	4333	45933
431	4343	45923
432	4352	45907
433	4362	45897
434	4371	45880
435	4381	45868
436	4391	45856
437	4400	45836
438	4410	45827
439	4420	45815
440	4430	45799
441	4439	45784
442	4450	45777
443	4459	45764
444	4470	45755
445	4479	45741
446	4490	45734
447	4500	45726
448	4510	45714
449	4520	45705
450	4531	45702
451	4540	45690
452	4550	45677
453	4560	45662
454	4569	45649
455	4580	45641
456	4590	45633
457	4600	45622
458	4610	45613
459	4621	45608
460	4631	45597
461	4641	45588
462	4651	45576
463	4661	45567
464	4670	45553
465	4680	45541
466	4690	45532
467	4700	45521
468	4710	45511
469	4720	45501
470	4730	45490
471	4741	45482
472	4751	45475
473	4761	45464
474	4771	45455
475	4781	45442
476	4791	45432
477	4801	45421
478	4811	45411
479	4820	45395
480	4830	45380
481	4839	45367
482	4849	45354
483	4859	45342
484	4868	45326
485	4878	45310
486	4888	45302
487	4898	45295
488	4908	45281
489	4918	45269
490	4928	45261
491	4938	45246
492	4947	45231
493	4958	45224
494	4968	45215
495	4978	45203
496	4987	45191
497	4997	45177
498	5007	45167
499	5017	45158
500	5028	45152
501	5038	45145
502	5048	45136
503	5058	45122
504	5068	45110
505	5078	45100
506	5087	45086
507	5097	45073
508	5106	45056
509	5116	45042
510	5126	45032
511	5136	45020
512	5145	45006
513	5155	44995
514	5164	44979
515	5174	44964
516	5183	44948
517	5193	44938
518	5204	44932
519	5215	44934
520	5225	44922
521	5235	44913
522	5245	44902
523	5256	44897
524	5265	44882
525	5275	44873
526	5286	44866
527	5295	44853
528	5305	44844
529	5315	44834
530	5325	44823
531	5336	44814
532	5345	44802
533	5356	44796
534	5366	44783
535	5375	44772
536	5385	44762
537	5396	44755
538	5406	44746
539	5416	44736
540	5426	44724
541	5436	44714
542	5446	44703
543	5456	44694
544	5466	44686
545	5476	44672
546	5486	44661
547	5496	44653
548	5506	44640
549	5516	44630
550	5526	44619
551	5535	44607
552	5545	44596
553	5556	44590
554	5566	44580
555	5575	44566
556	5586	44558
557	5595	44543
558	5604	44527
559	5615	44519
560	5625	44510
561	5635	44502
562	5645	44490
563	5655	44481
564	5665	44475
565	5675	44461
566	5685	44450
567	5695	44444
568	5706	44437
569	5716	44425
570	5725	44413
571	5735	44402
572	5745	44391
573	5755	44379
574	5765	44372
575	5775	44360
576	5785	44352
577	5795	44341
578	5806	44332
579	5816	44323
580	5826	44311
581	5836	44302
582	5846	44295
583	5856	44283
584	5866	44272
585	5876	44266
586	5886	44250
587	5895	44237
588	5905	44229
589	5915	44216
590	5925	44205
591	5935	44193
592	5945	44188
593	5956	44179
594	5965	44166
595	5975	44157
596	5986	44150
597	5996	44139
598	6005	44126
599	6015	44117
600	6025	44106
601	6036	44098
602	6046	44089
603	6056	44082
604	6066	44071
605	6076	44059
606	6086	44047
607	6096	44041
608	6106	44026
609	6116	44015
610	6126	44005
611	6135	43991
612	6145	43981
613	6155	43970
614	6165	43958
615	6174	43943
616	6184	43931
617	6194	43923
618	6204	43912
619	6214	43903
620	6225	43902
621	6237	43905
622	6252	43930
623	6264	43929
624	6274	43922
625	6284	43909
626	6293	43895
627	6304	43889
628	6314	43881
629	6324	43870
630	6334	43860
631	6345	43853
632	6354	43841
633	6364	43831
634	6375	43823
635	6384	43807
636	6394	43795
637	6403	43783
638	6413	43772
639	6423	43761
640	6433	43752
641	6443	43742
642	6453	43730
643	6463	43720
644	6473	43708
645	6483	43699
646	6494	43691
647	6503	43680
648	6514	43671
649	6523	43660
650	6534	43650
651	6544	43640
652	6554	43629
653	6563	43618
654	6573	43605
655	6584	43599
656	6593	43587
657	6603	43575
658	6613	43566
659	6623	43554
660	6633	43543
661	6643	43532
662	6653	43522
663	6663	43514
664	6673	43501
665	6683	43494
666	6693	43482
667	6703	43474
668	6713	43462
669	6723	43451
670	6733	43444
671	6744	43437
672	6754	43427
673	6764	43415
674	6773	43402
675	6783	43392
676	6794	43383
677	6804	43374
678	6814	43365
679	6824	43354
680	6834	43344
681	6844	43335
682	6854	43326
683	6865	43319
684	6875	43311
685	6885	43301
686	6895	43287
687	6905	43279
688	6915	43267
689	6925	43256
690	6935	43246
691	6945	43237
692	6955	43229
693	6965	43221
694	6975	43207
695	6984	43193
696	6994	43184
697	7004	43171
698	7014	43160
699	7024	43149
700	7034	43140
701	7044	43129
702	7054	43119
703	7064	43107
704	7073	43095
705	7083	43084
706	7093	43072
707	7103	43062
708	7113	43053
709	7123	43041
710	7133	43032
711	7143	43024
712	7154	43014
713	7163	43003
714	7174	42994
715	7184	42984
716	7194	42974
717	7204	42966
718	7215	42961
719	7225	42948
720	7234	42937
721	7244	42924
722	7254	42915
723	7264	42902
724	7274	42891
725	7283	42880
726	7293	42869
727	7303	42857
728	7313	42846
729	7323	42835
730	7333	42825
731	7343	42816
732	7353	42808
733	7364	42799
734	7374	42791
735	7383	42778
736	7393	42768
737	7403	42756
738	7413	42746
739	7423	42736
740	7433	42725
741	7443	42715
742	7453	42703
743	7463	42693
744	7473	42683
745	7483	42674
746	7493	42663
747	7504	42656
748	7514	42648
749	7524	42640
750	7534	42630
751	7544	42618
752	7554	42610
753	7564	42600
754	7575	42590
755	7585	42582
756	7595	42571
757	7604	42559
758	7615	42551
759	7625	42540
760	7635	42531
761	7645	42520
762	7655	42510
763	7665	42498
764	7675	42489
765	7685	42481
766	7696	42473
767	7706	42468
768	7717	42459
769	7726	42448
770	7736	42434
771	7746	42427
772	7757	42418
773	7767	42407
774	7777	42400
775	7787	42390
776	7797	42378
777	7807	42368
778	7817	42357
779	7827	42349
780	7838	42341
781	7848	42331
782	7858	42322
783	7868	42311
784	7877	42300
785	7888	42293
786	7898	42284
787	7908	42274
788	7918	42262
789	7929	42255
790	7938	42244
791	7949	42235
792	7959	42225
793	7969	42217
794	7979	42207
795	7990	42199
796	8000	42189
797	8009	42177
798	8020	42167
799	8029	42156
800	8040	42150
801	8050	42140
802	8060	42128
803	8070	42118
804	8081	42113
805	8091	42103
806	8101	42096
807	8112	42086
808	8122	42079
809	8132	42068
810	8142	42058
811	8152	42046
812	8161	42034
813	8172	42027
814	8182	42017
815	8193	42012
816	8203	41999
817	8213	41989
818	8223	41981
819	8235	41981
820	8250	41996
821	8263	42002
822	8277	42013
823	8288	42004
824	8298	41994
825	8308	41983
826	8317	41970
827	8327	41959
828	8337	41950
829	8347	41939
830	8357	41927
831	8367	41918
832	8378	41910
833	8387	41898
834	8397	41888
835	8408	41879
836	8418	41869
837	8428	41858
838	8437	41847
839	8448	41838
840	8458	41827
841	8468	41818
842	8478	41806
843	8488	41798
844	8497	41784
845	8507	41772
846	8517	41763
847	8527	41754
848	8537	41742
849	8547	41730
850	8557	41722
851	8568	41714
852	8578	41703
853	8587	41692
854	8597	41682
855	8607	41671
856	8617	41661
857	8627	41650
858	8637	41637
859	8647	41628
860	8657	41618
861	8667	41608
862	8677	41596
863	8686	41584
864	8697	41575
865	8706	41562
866	8716	41552
867	8726	41542
868	8737	41533
869	8747	41524
870	8756	41512
871	8767	41502
872	8776	41490
873	8786	41481
874	8797	41473
875	8807	41463
876	8816	41450
877	8827	41440
878	8837	41431
879	8846	41419
880	8856	41409
881	8866	41398
882	8876	41388
883	8887	41379
884	8897	41370
885	8907	41359
886	8917	41348
887	8927	41338
888	8936	41324
889	8946	41316
890	8956	41305
891	8967	41297
892	8977	41286
893	8987	41277
894	8997	41267
895	9006	41252
896	9016	41243
897	9026	41230
898	9036	41220
899	9045	41207
900	9055	41197
901	9066	41189
902	9075	41177
903	9086	41168
904	9096	41159
905	9105	41145
906	9115	41136
907	9125	41126
908	9135	41116
909	9146	41109
910	9156	41099
911	9166	41089
912	9176	41078
913	9186	41067
914	9196	41058
915	9206	41048
916	9216	41039
917	9227	41030
918	9237	41020
919	9247	41010
920	9257	41001
921	9268	40993
922	9277	40981
923	9287	40969
924	9297	40958
925	9307	40948
926	9317	40939
927	9327	40929
928	9337	40917
929	9347	40907
930	9357	40895
931	9366	40883
932	9376	40874
933	9386	40861
934	9396	40851
935	9405	40838
936	9415	40828
937	9425	40817
938	9435	40805
939	9445	40795
940	9455	40785
941	9464	40773
942	9475	40764
943	9485	40756
944	9495	40744
945	9505	40733
946	9514	40721
947	9524	40711
948	9535	40704
949	9545	40693
950	9555	40683
951	9565	40673
952	9575	40662
953	9586	40655
954	9596	40644
955	9606	40635
956	9616	40626
957	9626	40614
958	9636	40605
959	9646	40595
960	9655	40580
961	9665	40571
962	9675	40561
963	9685	40552
964	9695	40540
965	9705	40529
966	9715	40518
967	9725	40511
968	9735	40500
969	9746	40492
970	9756	40481
971	9766	40472
972	9777	40465
973	9788	40458
974	9798	40448
975	9808	40440
976	9818	40431
977	9828	40420
978	9839	40413
979	9849	40402
980	9858	40389
981	9868	40379
982	9879	40370
983	9889	40361
984	9899	40352
985	9909	40341
986	9918	40329
987	9928	40318
988	9938	40306
989	9948	40297
990	9958	40285
991	9968	40274
992	9977	40262
993	9987	40253
994	9998	40244
995	10007	40231
996	10017	40222
997	10027	40211
998	10037	40200
999	10048	40193
1000	10058	40183
1001	10068	40174
1002	10078	40164
1003	10088	40154
1004	10099	40146
1005	10109	40137
1006	10119	40126
1007	10130	40118
1008	10140	40107
1009	10150	40098
1010	10160	40089
1011	10169	40076
1012	10179	40066
1013	10190	40058
1014	10200	40047
1015	10210	40038
1016	10221	40029
1017	10231	40020
1018	10241	40011
1019	10252	40005
1020	10265	40005
1021	10281	40018
1022	10292	40011
1023	10301	40000
1024	10311	39990
1025	10321	39977
1026	10331	39966
1027	10341	39956
1028	10351	39946
1029	10361	39936
1030	10370	39924
1031	10381	39916
1032	10391	39905
1033	10401	39896
1034	10411	39887
1035	10421	39876
1036	10431	39864
1037	10441	39856
1038	10451	39843
1039	10461	39835
1040	10472	39827
1041	10482	39818
1042	10493	39809
1043	10503	39798
1044	10513	39790
1045	10523	39779
1046	10533	39769
1047	10543	39757
1048	10553	39747
1049	10563	39740
1050	10573	39730
1051	10584	39721
1052	10594	39712
1053	10604	39703
1054	10614	39692
1055	10624	39681
1056	10634	39669
1057	10644	39661
1058	10654	39651
1059	10665	39642
1060	10674	39629
1061	10683	39616
1062	10693	39606
1063	10703	39596
1064	10714	39588
1065	10724	39576
1066	10734	39568
1067	10744	39559
1068	10754	39548
1069	10764	39538
1070	10774	39527
1071	10784	39517
1072	10794	39506
1073	10805	39497
1074	10815	39488
1075	10825	39477
1076	10835	39467
1077	10845	39457
1078	10855	39447
1079	10865	39436
1080	10875	39426
1081	10885	39417
1082	10895	39405
1083	10905	39396
1084	10915	39385
1085	10925	39376
1086	10936	39368
1087	10946	39358
1088	10956	39350
1089	10967	39342
1090	10977	39330
1091	10987	39321
1092	10998	39314
1093	11008	39304
1094	11018	39295
1095	11029	39287
1096	11039	39276
1097	11050	39269
1098	11060	39258
1099	11070	39249
1100	11080	39240
1101	11091	39231
1102	11100	39219
1103	11111	39210
1104	11121	39200
1105	11130	39189
1106	11140	39178
1107	11150	39168
1108	11160	39158
1109	11170	39147
1110	11180	39138
1111	11191	39128
1112	11201	39118
1113	11211	39109
1114	11222	39103
1115	11233	39094
1116	11243	39084
1117	11253	39074
1118	11263	39064
1119	11273	39054
1120	11283	39044
1121	11293	39033
1122	11303	39022
1123	11312	39011
1124	11322	38999
1125	11332	38989
1126	11342	38980
1127	11352	38970
1128	11362	38959
1129	11372	38948
1130	11382	38939
1131	11393	38930
1132	11403	38920
1133	11413	38909
1134	11423	38900
1135	11433	38889
1136	11443	38878
1137	11453	38868
1138	11463	38859
1139	11474	38851
1140	11484	38841
1141	11494	38831
1142	11504	38819
1143	11514	38810
1144	11524	38801
1145	11535	38792
1146	11545	38783
1147	11555	38772
1148	11565	38763
1149	11575	38752
1150	11585	38743
1151	11595	38731
1152	11605	38721
1153	11615	38711
1154	11625	38701
1155	11635	38692
1156	11645	38682
1157	11656	38673
1158	11666	38664
1159	11676	38654
1160	11686	38644
1161	11696	38632
1162	11707	38624
1163	11717	38614
1164	11727	38604
1165	11737	38595
1166	11747	38584
1167	11757	38574
1168	11767	38563
1169	11777	38552
1170	11787	38542
1171	11797	38533
1172	11807	38522
1173	11817	38511
1174	11827	38501
1175	11837	38492
1176	11847	38482
1177	11857	38471
1178	11867	38462
1179	11877	38451
1180	11887	38441
1181	11898	38431
1182	11908	38421
1183	11917	38410
1184	11927	38401
1185	11938	38390
1186	11948	38381
1187	11958	38371
1188	11968	38362
1189	11979	38353
1190	11990	38346
1191	12000	38336
1192	12010	38327
1193	12020	38316
1194	12030	38304
1195	12040	38296
1196	12051	38288
1197	12061	38278
1198	12070	38266
1199	12080	38256
1200	12091	38247
1201	12101	38237
1202	12111	38227
1203	12121	38217
1204	12131	38206
1205	12141	38195
1206	12150	38184
1207	12161	38174
1208	12171	38164
1209	12181	38155
1210	12192	38146
1211	12202	38136
1212	12211	38125
1213	12221	38114
1214	12231	38102
1215	12241	38094
1216	12252	38085
1217	12261	38074
1218	12271	38064
1219	12283	38058
1220	12295	38053
1221	12309	38056
1222	12321	38051
1223	12331	38042
1224	12342	38036
1225	12352	38024
1226	12362	38014
1227	12372	38005
1228	12382	37992
1229	12391	37980
1230	12401	37970
1231	12411	37960
1232	12421	37949
1233	12431	37937
1234	12440	37926
1235	12450	37915
1236	12460	37906
1237	12470	37894
1238	12480	37883
1239	12490	37873
1240	12499	37862
1241	12510	37852
1242	12519	37841
1243	12530	37832
1244	12540	37823
1245	12550	37813
1246	12560	37802
1247	12570	37791
1248	12580	37780
1249	12590	37771
1250	12600	37761
1251	12610	37751
1252	12620	37741
1253	12631	37732
1254	12641	37721
1255	12651	37712
1256	12661	37703
1257	12671	37693
1258	12682	37683
1259	12692	37673
1260	12702	37664
1261	12713	37655
1262	12723	37645
1263	12733	37635
1264	12743	37626
1265	12753	37616
1266	12763	37605
1267	12774	37596
1268	12783	37584
1269	12793	37573
1270	12803	37563
1271	12813	37553
1272	12823	37542
1273	12832	37531
1274	12842	37521
1275	12852	37511
1276	12862	37501
1277	12873	37493
1278	12884	37483
1279	12894	37474
1280	12904	37463
1281	12914	37452
1282	12924	37442
1283	12934	37432
1284	12944	37421
1285	12954	37413
1286	12964	37402
1287	12974	37391
1288	12984	37381
1289	12994	37370
1290	13004	37361
1291	13015	37352
1292	13025	37342
1293	13035	37332
1294	13045	37323
1295	13055	37314
1296	13066	37305
1297	13076	37295
1298	13086	37284
1299	13096	37275
1300	13106	37265
1301	13117	37257
1302	13127	37247
1303	13137	37237
1304	13147	37227
1305	13157	37215
1306	13167	37206
1307	13177	37196
1308	13188	37187
1309	13198	37177
1310	13208	37167
1311	13218	37158
1312	13228	37147
1313	13238	37135
1314	13249	37129
1315	13259	37119
1316	13270	37110
1317	13280	37100
1318	13290	37090
1319	13300	37079
1320	13310	37069
1321	13320	37059
1322	13330	37050
1323	13341	37040
1324	13351	37030
1325	13361	37021
1326	13372	37012
1327	13381	37001
1328	13391	36991
1329	13401	36981
1330	13411	36971
1331	13422	36962
1332	13432	36952
1333	13443	36943
1334	13453	36934
1335	13463	36925
1336	13474	36916
1337	13484	36906
1338	13495	36898
1339	13505	36888
1340	13515	36878
1341	13525	36868
1342	13536	36859
1343	13546	36849
1344	13556	36838
1345	13566	36828
1346	13576	36818
1347	13587	36810
1348	13597	36800
1349	13607	36790
1350	13616	36778
1351	13626	36767
1352	13636	36757
1353	13646	36747
1354	13656	36735
1355	13665	36724
1356	13675	36714
1357	13685	36704
1358	13696	36695
1359	13706	36685
1360	13717	36676
1361	13727	36668
1362	13738	36659
1363	13748	36650
1364	13758	36639
1365	13769	36630
1366	13778	36618
1367	13788	36608
1368	13799	36599
1369	13809	36589
1370	13819	36579
1371	13829	36568
1372	13838	36557
1373	13849	36548
1374	13859	36539
1375	13870	36530
1376	13880	36520
1377	13890	36510
1378	13901	36501
1379	13910	36491
1380	13921	36481
1381	13931	36472
1382	13942	36462
