block_id,gain_per_block,n_products,product_cumsum
21,22144.95000000001,10,10
1409,16911.050000000007,7,17
1121,16278.85000000001,10,27
530,15860.650000000007,10,37
487,15496.330000000004,8,45
1446,15325.050000000007,10,55
1677,14686.100000000008,9,64
2671,14474.150000000007,8,72
442,14456.050000000003,10,82
1143,14365.270000000004,10,92
1033,14267.300000000007,9,101
1283,14251.350000000006,9,110
387,13980.100000000004,8,118
560,13905.400000000005,8,126
812,13895.800000000001,8,134
418,13523.900000000005,9,143
1554,13110.25000000001,10,153
1274,12985.600000000006,9,162
2442,12931.300000000001,4,166
2173,12892.450000000006,6,172
314,12865.080000000009,10,182
1403,12805.2,10,192
1247,12712.490000000003,9,201
2608,12665.150000000003,8,209
1309,12599.180000000006,10,219
2145,12359.150000000003,10,229
1601,12308.95,10,239
1765,12251.690000000004,9,248
1747,12227.50000000001,10,258
1580,12195.30000000001,8,266
1691,12052.250000000004,10,276
546,12042.550000000005,9,285
315,12016.050000000001,8,293
2037,12014.45,4,297
2195,12010.15000000001,9,306
2700,12008.570000000003,6,312
626,11999.37,9,321
2048,11919.65000000001,9,330
2566,11902.300000000003,6,336
2240,11846.800000000008,8,344
1463,11766.000000000005,10,354
447,11716.500000000005,7,361
773,11532.200000000004,10,371
1252,11465.350000000002,6,377
522,11462.900000000001,8,385
361,11459.500000000007,8,393
1887,11405.7,6,399
851,11274.800000000005,10,409
1507,11254.850000000004,10,419
320,11191.450000000006,10,429
2344,11052.750000000007,10,439
2446,10972.150000000007,6,445
1240,10950.050000000005,8,453
2735,10920.950000000004,10,463
726,10886.4,10,473
1083,10749.400000000001,9,482
661,10744.600000000002,5,487
2433,10706.530000000008,9,496
1964,10700.830000000004,9,505
1860,10697.450000000003,7,512
82,10630.200000000003,10,522
301,10584.200000000006,8,530
1410,10476.400000000003,9,539
2103,10400.600000000004,9,548
2223,10382.300000000003,10,558
2555,10363.150000000009,8,566
110,10315.250000000005,10,576
1124,10312.15000000001,9,585
1166,10309.600000000006,5,590
1294,10263.450000000004,8,598
2265,10228.750000000002,8,606
990,10222.000000000005,9,615
1911,10188.900000000003,4,619
904,10185.60000000001,9,628
879,10180.650000000003,7,635
1879,10175.800000000008,9,644
165,10106.55,2,646
1438,9983.700000000006,9,655
216,9982.550000000005,7,662
1826,9955.200000000008,10,672
1441,9954.900000000005,8,680
256,9953.600000000002,6,686
846,9846.950000000004,8,694
1735,9816.500000000004,10,704
2478,9774.210000000008,10,714
779,9758.53,7,721
2644,9619.600000000006,10,731
2610,9599.950000000006,10,741
1809,9568.750000000007,9,750
933,9526.95,9,759
1492,9493.350000000006,9,768
2423,9370.20000000001,10,778
1939,9359.740000000003,10,788
2109,9354.750000000005,8,796
606,9300.500000000007,8,804
1710,9248.470000000007,10,814
1645,9217.200000000003,5,819
2254,9208.250000000005,4,823
430,9198.250000000005,10,833
2290,9196.600000000006,10,843
505,9182.850000000015,10,853
2705,9163.1,8,861
2699,9162.750000000004,10,871
554,9135.150000000007,10,881
183,9128.250000000002,3,884
1671,9118.650000000003,7,891
2704,9089.0,2,893
1551,9050.090000000004,5,898
2706,9048.600000000008,10,908
2087,9034.300000000003,10,918
2574,9021.20000000001,10,928
1058,9011.150000000001,2,930
436,9005.25,6,936
1027,8996.390000000005,8,944
1273,8976.100000000008,8,952
2625,8964.150000000003,5,957
1829,8953.800000000003,9,966
388,8938.400000000003,8,974
1679,8938.200000000006,4,978
1393,8932.000000000007,10,988
1706,8896.450000000004,10,998
1572,8891.250000000004,6,1004
2312,8871.700000000003,8,1012
847,8800.200000000003,7,1019
2160,8761.400000000003,6,1025
1070,8758.300000000005,9,1034
2666,8757.500000000007,10,1044
2489,8710.350000000006,5,1049
1348,8674.200000000003,6,1055
666,8651.350000000006,8,1063
428,8609.53,9,1072
453,8582.650000000007,9,1081
1902,8572.250000000002,9,1090
585,8560.35,2,1092
2264,8544.900000000005,8,1100
25,8544.260000000007,8,1108
2356,8531.250000000005,10,1118
115,8521.800000000005,8,1126
2742,8518.350000000006,9,1135
2123,8506.250000000007,8,1143
2005,8494.750000000004,6,1149
814,8490.100000000006,8,1157
2010,8471.700000000004,6,1163
1115,8469.100000000004,3,1166
2525,8466.350000000002,9,1175
2233,8459.700000000003,8,1183
2163,8451.050000000003,9,1192
1857,8446.25000000001,9,1201
1794,8372.750000000002,10,1211
2220,8352.900000000001,5,1216
549,8352.500000000004,10,1226
2745,8308.200000000003,9,1235
840,8304.600000000004,10,1245
1834,8292.240000000002,10,1255
1469,8274.750000000002,9,1264
2035,8273.550000000003,9,1273
2004,8266.100000000002,10,1283
1133,8263.850000000002,6,1289
359,8242.4,10,1299
1501,8198.099999999999,5,1304
1847,8181.949999999999,7,1311
1948,8172.599999999999,10,1321
932,8168.35,9,1330
1880,8162.32,7,1337
1211,8133.949999999999,9,1346
2207,8120.099999999998,10,1356
1822,8110.399999999999,8,1364
2616,8110.29,5,1369
671,8100.8499999999985,10,1379
355,8088.499999999999,10,1389
2390,8069.15,7,1396
1022,8040.2,7,1403
976,8034.049999999998,10,1413
1495,8026.099999999997,10,1423
2443,8007.349999999999,6,1429
2410,7985.699999999998,6,1435
861,7984.4,4,1439
1750,7976.949999999999,8,1447
950,7953.199999999999,4,1451
411,7951.049999999999,4,1455
39,7945.049999999998,8,1463
1850,7942.05,1,1464
1588,7930.049999999998,6,1470
1771,7927.199999999997,8,1478
1950,7924.049999999997,10,1488
2098,7917.299999999998,10,1498
1632,7896.749999999997,8,1506
2592,7896.2,10,1516
184,7843.149999999998,10,1526
1255,7820.149999999998,8,1534
2734,7803.9,9,1543
1069,7785.5999999999985,4,1547
302,7776.549999999999,9,1556
1940,7754.299999999999,9,1565
982,7749.9,7,1572
1903,7743.349999999998,8,1580
2033,7737.399999999999,7,1587
1236,7725.65,9,1596
422,7725.449999999997,6,1602
2595,7713.899999999998,9,1611
91,7691.399999999999,10,1621
1352,7687.449999999999,8,1629
439,7673.599999999999,1,1630
2733,7660.299999999999,8,1638
918,7637.549999999998,9,1647
1367,7630.589999999998,10,1657
1509,7619.35,10,1667
728,7595.399999999999,5,1672
2008,7541.95,5,1677
181,7536.8499999999985,8,1685
1575,7535.5599999999995,10,1695
790,7534.999999999998,6,1701
1214,7525.299999999999,5,1706
1577,7505.0599999999995,8,1714
651,7495.549999999997,9,1723
185,7493.15,7,1730
2,7491.649999999998,7,1737
2526,7479.749999999997,10,1747
705,7463.3499999999985,10,1757
822,7455.749999999998,9,1766
341,7445.089999999998,8,1774
333,7437.649999999999,6,1780
839,7428.299999999999,7,1787
2296,7411.199999999999,9,1796
2316,7386.849999999998,10,1806
569,7384.429999999998,10,1816
2147,7382.999999999999,8,1824
465,7373.85,6,1830
1582,7371.449999999998,8,1838
1522,7367.449999999999,9,1847
1248,7361.4,9,1856
2646,7344.999999999999,8,1864
424,7344.799999999998,5,1869
2347,7331.05,9,1878
774,7328.45,5,1883
2511,7318.5999999999985,9,1892
1,7307.8499999999985,7,1899
237,7303.999999999998,9,1908
595,7299.0999999999985,10,1918
1444,7295.619999999998,10,1928
1882,7290.2,4,1932
358,7285.379999999998,7,1939
1212,7280.249999999999,9,1948
4,7272.859999999999,10,1958
1998,7242.75,5,1963
2143,7230.0999999999985,10,1973
303,7220.049999999997,7,1980
2701,7206.65,9,1989
498,7203.649999999999,10,1999
845,7181.94,9,2008
1973,7165.939999999999,9,2017
1308,7161.4,4,2021
1521,7151.499999999998,8,2029
344,7150.299999999997,8,2037
1731,7146.399999999999,10,2047
1651,7133.05,7,2054
2000,7129.549999999998,5,2059
2243,7111.199999999998,9,2068
786,7079.949999999999,9,2077
553,7039.5499999999965,8,2085
2488,7031.5,9,2094
1476,7025.309999999999,10,2104
2131,7016.749999999999,7,2111
8,7016.1,1,2112
432,7013.85,8,2120
753,7010.899999999999,3,2123
276,7002.249999999999,7,2130
676,6990.549999999999,6,2136
477,6985.8499999999985,9,2145
410,6970.699999999999,9,2154
1593,6968.65,5,2159
409,6956.449999999997,9,2168
108,6948.449999999997,7,2175
1830,6945.849999999998,10,2185
1048,6944.4,7,2192
1378,6942.5,8,2200
2753,6942.0,9,2209
2148,6939.400000000001,8,2217
716,6935.449999999999,8,2225
2612,6933.799999999998,7,2232
2593,6919.45,7,2239
478,6915.8499999999985,10,2249
490,6912.799999999999,7,2256
467,6905.649999999998,8,2264
962,6884.949999999999,10,2274
1858,6874.649999999999,7,2281
1700,6873.2,3,2284
1407,6872.499999999999,8,2292
192,6868.5499999999965,7,2299
2533,6866.149999999999,10,2309
1183,6862.0999999999985,9,2318
2600,6839.849999999999,7,2325
2515,6813.599999999997,5,2330
2303,6783.499999999997,10,2340
