block_id,gain_per_block,n_products,product_cumsum
1580,129010.45,8,8
812,127505.04999999999,8,16
2233,122435.84999999999,8,24
388,84092.84999999999,8,32
2306,82079.84999999999,3,35
2574,70875.09999999998,10,45
1143,67033.65,10,55
2666,66941.25000000001,10,65
2000,65928.65,5,70
387,64019.299999999996,8,78
1554,59318.25,10,88
569,58050.76000000001,10,98
2207,57790.79999999999,10,108
1211,57441.299999999996,9,117
990,56948.3,9,126
1551,55286.12000000001,5,131
303,54678.49999999999,7,138
2571,54027.55,10,148
4,54010.3,10,158
442,53304.2,10,168
2037,52133.85,4,172
2163,50977.15,9,181
482,50425.549999999996,6,187
487,50151.34,8,195
1489,49744.299999999996,7,202
1546,49092.7,6,208
110,46928.34999999999,10,218
2208,46335.399999999994,5,223
2735,46204.9,10,233
2578,45687.799999999996,5,238
290,45324.049999999996,10,248
1964,44733.69,9,257
2446,44553.49999999999,6,263
1750,44128.6,8,271
2359,43876.75,1,272
651,43673.5,9,281
314,42852.590000000004,10,291
1033,41551.299999999996,9,300
1221,41454.649999999994,9,309
1418,40543.899999999994,6,315
1474,40127.049999999996,7,322
2410,39820.15,6,328
358,39650.82,7,335
1353,39561.24999999999,6,341
2734,39530.75,9,350
1212,38986.45,9,359
2417,38802.049999999996,8,367
918,37812.200000000004,9,376
553,37668.69999999999,8,384
1303,37208.8,9,393
560,37066.9,8,401
726,36800.799999999996,10,411
9,36665.74999999999,6,417
216,36197.55,7,424
779,36100.0,7,431
2394,35979.85,7,438
63,35706.549999999996,7,445
1747,35582.100000000006,10,455
2515,35236.0,5,460
498,35033.25,10,470
2433,34701.16999999999,9,479
851,34196.3,10,489
439,34051.6,1,490
294,33819.049999999996,7,497
418,33532.15,9,506
1121,33491.2,10,516
938,33470.899999999994,7,523
1671,33447.950000000004,7,530
806,33295.65,6,536
1572,33252.7,6,542
2566,33226.5,6,548
1476,33172.840000000004,10,558
0,32816.5,7,565
1446,32757.000000000007,10,575
242,32632.0,8,583
108,32281.800000000003,7,590
2123,32248.35,8,598
2109,32218.050000000003,8,606
256,32163.6,6,612
428,31953.239999999998,9,621
315,31928.7,8,629
2159,31889.8,5,634
2058,31499.75,8,642
1104,31243.8,3,645
995,31180.449999999997,4,649
1495,31121.150000000005,10,659
473,31080.5,4,663
1153,31013.75,6,669
2087,30771.299999999996,10,679
507,30572.25,5,684
1124,29901.249999999996,9,693
1348,29889.2,6,699
2478,29760.92,10,709
612,29620.4,8,717
1874,29547.8,9,726
2748,29435.95,7,733
2048,29376.450000000004,9,742
2143,29246.349999999995,10,752
27,29113.85,8,760
2264,29061.050000000003,8,768
80,28922.85,8,776
2488,28835.7,9,785
2173,28808.249999999996,6,791
1809,28656.499999999996,9,800
436,28623.7,6,806
530,28452.999999999996,10,816
702,28419.699999999997,5,821
478,28360.25,10,831
2391,28116.75,4,835
1589,28096.05,7,842
1283,28022.340000000004,9,851
846,27931.899999999998,8,859
831,27823.550000000003,4,863
1043,27624.399999999998,8,871
1352,27603.100000000002,8,879
1109,27470.13,10,889
2481,27313.05,5,894
1080,27258.85,4,898
1738,27199.6,7,905
1141,27178.45,9,914
1442,26989.149999999998,6,920
21,26805.159999999996,10,930
1274,26723.949999999997,9,939
2068,26568.4,3,942
1260,26562.74,5,947
2749,26556.95,6,953
1027,26385.739999999998,8,961
137,26225.999999999996,8,969
419,26216.049999999996,9,978
119,26147.42,9,987
1407,25847.8,8,995
324,25801.699999999997,5,1000
1412,25627.550000000003,5,1005
1632,25325.55,8,1013
1460,25231.35,8,1021
1875,25192.25,3,1024
546,25123.45,9,1033
2223,25097.8,10,1043
716,25082.550000000003,8,1051
1438,24921.700000000004,9,1060
1511,24856.75,5,1065
1277,24808.65,10,1075
117,24798.350000000002,8,1083
941,24679.100000000002,10,1093
2510,24609.049999999996,9,1102
1083,24483.650000000005,9,1111
773,24453.100000000002,10,1121
753,24424.8,3,1124
2252,24421.5,9,1133
2010,24406.05,6,1139
2439,24402.7,8,1147
2671,24322.8,8,1155
2432,24269.5,9,1164
1273,24255.550000000003,8,1172
1441,24149.850000000002,8,1180
1850,24125.850000000002,1,1181
1292,24106.55,8,1189
943,24019.8,3,1192
2290,24012.05,10,1202
359,23957.800000000003,10,1212
2254,23936.45,4,1216
861,23857.1,4,1220
2220,23804.45,5,1225
897,23688.55,3,1228
913,23174.75,4,1232
1932,23170.15,9,1241
1879,23014.25,9,1250
1115,22915.05,3,1253
2082,22863.7,9,1262
1539,22834.700000000004,10,1272
2660,22817.88,7,1279
1318,22797.750000000004,10,1289
584,22530.949999999997,6,1295
1294,22305.1,8,1303
357,22064.649999999998,9,1312
2015,21965.9,5,1317
1097,21949.5,9,1326
2303,21942.050000000003,10,1336
2356,21878.3,10,1346
1331,21858.65,10,1356
1588,21845.649999999998,6,1362
1391,21837.549999999996,10,1372
847,21836.5,7,1379
535,21807.8,8,1387
1268,21724.55,9,1396
341,21695.49,8,1404
2575,21616.7,5,1409
1521,21584.9,8,1417
181,21504.350000000002,8,1425
1070,21380.400000000005,9,1434
2376,21310.489999999998,4,1438
1469,21290.6,9,1447
840,21234.750000000004,10,1457
1744,21215.649999999998,6,1463
2644,21127.899999999998,10,1473
1625,21108.249999999996,9,1482
2492,21106.699999999997,9,1491
183,20974.65,3,1494
2742,20968.000000000004,9,1503
963,20810.2,8,1511
1477,20778.0,10,1521
2700,20752.860000000004,6,1527
642,20677.549999999996,9,1536
505,20666.049999999996,10,1546
2189,20615.2,5,1551
671,20481.1,10,1561
1691,20472.55,10,1571
1403,20359.75,10,1581
2398,20280.75,2,1583
2110,20259.250000000004,4,1587
1385,20246.649999999998,3,1590
962,20231.8,10,1600
1826,20223.65,10,1610
2341,20185.8,10,1620
2312,20118.500000000004,8,1628
253,20059.15,8,1636
1100,20056.75,6,1642
2523,19969.800000000003,10,1652
386,19939.1,6,1658
1880,19923.73,7,1665
1857,19902.2,9,1674
1683,19771.55,10,1684
893,19707.1,2,1686
2582,19686.05,8,1694
904,19656.2,9,1703
2770,19625.4,4,1707
1971,19623.050000000003,9,1716
2595,19597.25,9,1725
2423,19585.5,10,1735
490,19533.950000000004,7,1742
1601,19471.04,10,1752
1180,19462.5,1,1753
1252,19431.85,6,1759
1308,19425.100000000002,4,1763
2647,19402.65,10,1773
1700,19357.5,3,1776
879,19337.65,7,1783
1911,19309.050000000003,4,1787
504,19306.700000000004,8,1795
677,19260.05,7,1802
839,19151.500000000004,7,1809
1685,19130.55,8,1817
234,19113.6,5,1822
1,19007.0,7,1829
1473,18987.3,6,1835
501,18978.55,10,1845
2555,18919.049999999996,8,1853
193,18815.95,10,1863
714,18800.950000000004,7,1870
1186,18791.399999999998,10,1880
572,18786.249999999996,10,1890
1389,18714.35,7,1897
511,18668.3,7,1904
1735,18657.999999999993,10,1914
374,18641.699999999997,5,1919
1425,18616.850000000002,7,1926
631,18600.8,7,1933
2092,18552.100000000002,2,1935
1427,18497.3,10,1945
162,18438.000000000004,9,1954
1679,18421.35,4,1958
403,18400.55,5,1963
2649,18386.699999999997,6,1969
1822,18296.7,8,1977
1237,18292.000000000004,4,1981
1917,18282.55,9,1990
2396,18280.05,10,2000
44,18254.31,5,2005
1560,18251.250000000004,10,2015
1309,18211.61,10,2025
2764,18205.399999999998,4,2029
60,18205.149999999998,9,2038
1668,18169.350000000002,5,2043
6,18149.32,8,2051
1179,18141.149999999998,4,2055
2243,18096.5,9,2064
2611,18031.800000000003,10,2074
1453,18001.0,8,2082
2195,17971.2,9,2091
1467,17949.95,5,2096
512,17911.499999999996,4,2100
993,17852.050000000003,5,2105
2628,17848.9,7,2112
1577,17775.420000000002,8,2120
2706,17687.6,10,2130
1981,17673.649999999998,6,2136
2206,17671.949999999997,4,2140
858,17650.95,6,2146
966,17626.0,8,2154
384,17612.499999999996,7,2161
1646,17594.0,6,2167
1939,17565.34,10,2177
1677,17519.750000000004,9,2186
1913,17498.500000000004,8,2194
53,17435.8,9,2203
1860,17323.6,7,2210
68,17271.5,10,2220
489,17254.5,5,2225
666,17237.2,8,2233
2005,17160.0,6,2239
1501,17122.15,5,2244
1383,17098.25,8,2252
814,17060.4,8,2260
1678,17046.4,8,2268
224,17043.45,8,2276
491,17026.45,3,2279
1076,17002.7,6,2285
562,16973.05,6,2291
2246,16892.0,7,2298
532,16880.679999999997,8,2306
2060,16835.65,2,2308
1651,16824.2,7,2315
115,16799.45,8,2323
301,16789.999999999996,8,2331
2001,16719.7,4,2335
2026,16706.35,7,2342
226,16671.550000000003,7,2349
1133,16666.000000000004,6,2355
320,16663.300000000003,10,2365
393,16633.95,2,2367
2699,16630.9,10,2377
66,16607.300000000003,8,2385
184,16567.500000000004,10,2395
2583,16556.149999999998,10,2405
2344,16522.850000000002,10,2415
207,16521.3,10,2425
1236,16440.65,9,2434
361,16395.8,8,2442
1718,16374.6,4,2446
1869,16356.399999999998,9,2455
1524,16326.55,8,2463
549,16295.05,10,2473
2370,16274.45,9,2482
1954,16260.65,8,2490
2643,16222.699999999999,6,2496
96,16192.8,1,2497
151,16191.2,9,2506
2543,16171.949999999999,9,2515
1393,16029.650000000001,10,2525
1048,16012.199999999997,7,2532
74,15918.099999999999,7,2539
786,15851.300000000003,9,2548
2556,15780.449999999999,4,2552
919,15776.67,10,2562
1198,15711.199999999999,9,2571
2113,15695.049999999997,9,2580
424,15646.799999999997,5,2585
1169,15611.4,5,2590
1041,15607.349999999999,8,2598
522,15533.2,8,2606
2613,15531.65,10,2616
1422,15530.500000000002,8,2624
2180,15492.15,4,2628
1522,15476.300000000001,9,2637
2035,15474.9,9,2646
1573,15453.510000000002,9,2655
533,15428.95,6,2661
554,15425.850000000002,10,2671
1989,15406.099999999999,7,2678
2482,15405.45,10,2688
362,15373.299999999997,8,2696
1858,15275.000000000002,7,2703
1456,15264.35,4,2707
1189,15259.949999999999,4,2711
2731,15217.05,4,2715
2665,15200.6,10,2725
2004,15185.100000000002,10,2735
519,15184.649999999998,3,2738
1022,15182.949999999999,7,2745
933,15166.7,9,2754
302,15138.599999999997,9,2763
1606,15093.6,10,2773
1562,15074.85,7,2780
1183,15072.700000000003,9,2789
1463,15053.75,10,2799
1217,15047.45,4,2803
2404,15004.400000000001,9,2812
1771,14999.849999999999,8,2820
2625,14995.1,5,2825
1487,14976.49,9,2834
587,14976.3,2,2836
65,14919.15,5,2841
2527,14916.269999999999,9,2850
2240,14906.150000000001,8,2858
1069,14840.500000000002,4,2862
1095,14795.3,8,2870
333,14773.900000000001,6,2876
1969,14773.5,4,2880
2187,14750.2,10,2890
2673,14748.25,3,2893
163,14743.349999999999,6,2899
1813,14738.15,8,2907
983,14702.54,10,2917
2330,14701.05,3,2920
1736,14658.2,4,2924
105,14605.9,7,2931
2145,14544.58,10,2941
1046,14532.0,2,2943
1369,14504.349999999999,7,2950
1172,14451.0,7,2957
1219,14416.200000000003,7,2964
2065,14402.25,4,2968
292,14401.55,7,2975
2316,14353.699999999999,10,2985
1367,14322.019999999999,10,2995
1258,14287.3,6,3001
369,14248.98,10,3011
1666,14203.4,10,3021
867,14169.05,7,3028
2103,14144.45,9,3037
1756,14126.310000000001,6,3043
457,14051.100000000002,9,3052
2608,14047.549999999997,8,3060
1240,14037.699999999999,8,3068
2743,14036.4,10,3078
25,13978.04,8,3086
24,13975.349999999999,8,3094
237,13967.199999999999,9,3103
1884,13951.800000000001,8,3111
1645,13902.150000000001,5,3116
2305,13871.050000000001,5,3121
2194,13847.599999999999,6,3127
978,13839.199999999999,10,3137
1404,13740.849999999999,8,3145
1248,13669.400000000001,9,3154
2452,13646.649999999998,8,3162
2354,13641.650000000001,7,3169
2717,13639.409999999998,6,3175
1255,13604.800000000001,8,3183
484,13604.25,7,3190
267,13569.86,8,3198
2663,13553.150000000001,6,3204
2133,13545.750000000002,8,3212
32,13537.4,7,3219
660,13518.15,10,3229
91,13492.7,10,3239
892,13484.7,5,3244
169,13460.349999999999,9,3253
2013,13447.75,7,3260
2098,13401.25,10,3270
379,13387.8,7,3277
984,13366.6,10,3287
822,13326.66,9,3296
1054,13325.43,10,3306
2136,13322.900000000001,7,3313
1794,13302.93,10,3323
513,13302.75,7,3330
50,13283.559999999998,10,3340
606,13209.550000000001,8,3348
